b54d6bd,yiranruan,26 seconds ago,meaningless
4cf9920,yiranruan,22 hours ago,pie chart
3f92d47,yiranruan,23 hours ago,merged version2
b8072d3,yiranruan,23 hours ago,Merge branch 'merged_save' into haotian
ebfa511,Matthew Zhu,23 hours ago,finish delete and create and get task
0f3423c,yiranruan,23 hours ago,optimization
d270589,yiranruan,23 hours ago,floating menu
91897b7,yiranruan,24 hours ago,add new feature
fbf7089,yiranruan,24 hours ago,merged code
7f49744,yiranruan,24 hours ago,Merge branch 'haotian_version3' into haotian
b43726f,yiranruan,24 hours ago,Merge branch 'haotian' of github.com:yiranruan/android_mobile into haotian
aaa722a,Matthew Zhu,25 hours ago,finish half of show task page
af2099c,yiranruan,25 hours ago,floating fixed; optimalize code for group
66a4155,yiranruan,25 hours ago,new feature handwriting
6d697d5,Matthew Zhu,25 hours ago,finish create task backend
e872b28,yiranruan,26 hours ago,new feature handwriting
69a1e14,yiranruan,29 hours ago,Merge remote-tracking branch 'origin/haotian' into haotian
6db39d4,yiranruan,29 hours ago,Merge remote-tracking branch 'origin/haotian' into haotian
f45f458,Matthew Zhu,32 hours ago,Merge branch 'ww' into haotian
a88deb6,Matthew Zhu,32 hours ago,Merge branch 'ww' into haotian
a94652b,Matthew Zhu,32 hours ago,modify backend
87bc9c5,Peter,32 hours ago,update calender
e8c10bb,Peter,32 hours ago,add calender
9ee474c,Matthew Zhu,35 hours ago,handle delete group function
a36350b,yiranruan,2 days ago,Merge remote-tracking branch 'origin/haotian' into haotian
d369a97,Matthew Zhu,2 days ago,modify the function of group card
e50a369,Peter,2 days ago,modify create tasks
c13d85a,Peter,2 days ago,ww commit
98278a5,yiranruan,2 days ago,aa
dc35e49,Matthew Zhu,2 days ago,task page
642b4fe,Matthew Zhu,2 days ago,response for create and join group page
4c3a9b6,yiranruan,2 days ago,Merge remote-tracking branch 'origin/haotian' into haotian
7e79131,Matthew Zhu,2 days ago,modify invite code
74c876d,yiranruan,3 days ago,Merge remote-tracking branch 'origin/haotian' into haotian
6fff610,Matthew Zhu,3 days ago,create group page
ac44a25,yiranruan,3 days ago,Merge branch 'haotian' of github.com:yiranruan/android_mobile into haotian
66dc1ed,yiranruan,3 days ago,meaningless
3c549f7,Matthew Zhu,3 days ago,modify show group list page
f1589fc,Matthew Zhu,3 days ago,connect login pange and group list page
11ee5ad,yiranruan,3 days ago,merged with zhu
abd6f58,yiranruan,4 days ago,fixed ani
23e37de,yiranruan,4 days ago,fixed animation
d32837e,yiranruan,5 days ago,fourth release
fa40c87,yiranruan,6 days ago,version3 release
a05b974,yiranruan,7 days ago,Task version 3
2d72ef0,yiranruan,7 days ago,Task version 2
307b3a8,yiranruan,7 days ago,swipe+viewpage
4ad15a1,yiranruan,7 days ago,first release R